#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
0.645833333	0	30	58.94655	26.78984	0	0	7	66.787	243.61	34.489	0	0	258.6645	22487
0.65625	0	30	59.38933	27.29076	0	0	7	53.093	242.491	32.843	0	0	246.32025	18221
0.666666667	0	30	60.21274	27.12379	0	0	7	48.589	232.067	31.184	0	0	233.88	17442
0.677083333	0	30	62.42662	27.42295	0	0	7	51.669	222.927	30.511	0	0	228.83025	19246
0.6875	0	30	65.86786	28.33436	0	0	7	50.501	218.476	29.886	0	0	224.14725	19197
0.697916667	0	30	65.61928	28.2787	0	0	7	51.124	215.949	29.675	0	0	222.561	19637
0.708333333	0	30	64.00353	27.7082	0	0	7	49	214.119	29.235	0	0	219.2655	19014
0.71875	0	30	59.54469	26.68548	0	0	7	46.94	211.29	28.692	0	0	215.1915	18480
0.729166667	0	30	58.34064	26.57068	0	0	7	45.213	206.648	27.985	0	0	209.8845	18208
0.739583333	0	30	57.33857	26.62286	0	0	7	45.476	203.928	27.712	0	0	207.837	18547
0.75	0	30	58.6902	27.4647	0	0	7	45.367	202.095	27.496	0	0	206.2185	18666
0.760416667	0	30	60.46908	28.33436	0	0	7	45.055	200.656	27.301	0	0	204.759	18670
0.770833333	0	30	63.25004	29.26664	0	0	7	44.733	199.403	27.126	0	0	203.4465	18654
0.78125	0	30	62.37225	30.63027	0	0	7	56.415	199.337	28.417	0	0	213.12675	23137
0.791666667	0	30	62.21689	30.58853	0	0	7	56.515	205.917	29.159	0	0	218.69325	22509
0.802083333	0	30	62.01492	28.16043	0	0	7	56.336	210.193	29.614	0	0	222.10725	22031
0.8125	0	30	66.41162	29.79539	0	0	7	58.428	213.092	30.169	0	0	226.26675	22489
0.822916667	0	30	67.18843	29.82322	0	0	7	49.053	215.986	29.449	0	0	220.866	18876
0.833333333	0	30	68.47015	30.30328	0	0	7	53.236	212.866	29.567	0	0	221.75175	20674
0.84375	0	30	71.88808	32.13305	0	0	7	63.453	213.65	30.789	0	0	230.919	24145
0.854166667	0	30	75.64392	33.77149	0	0	7	60.41	220.002	31.157	0	0	233.67675	22518
0.864583333	0	30	77.44222	34.30373	0	0	7	61.911	222.34	31.583	0	0	236.8755	22803
0.875	0	30	80.08335	35.63953	0	0	7	59.52	224.886	31.601	0	0	237.00525	21780
0.885416667	0	30	82.60408	36.06393	0	0	7	51.651	225.05	30.745	0	0	230.5845	19067
0.895833333	0	30	83.83531	35.93174	0	0	7	72.083	220.693	32.531	0	0	243.98025	26211
0.90625	0	30	84.21983	35.45168	0	0	7	68.088	229.788	33.097	0	0	248.22975	24096
0.916666667	0	30	83.377	35.69519	0	0	7	65.824	233.33	33.239	0	0	249.29475	23071
0.927083333	0	30	81.99584	35.62561	0	0	7	63.988	234.546	33.17	0	0	248.778	22388
0.9375	0	30	80.14161	35.37863	0	0	7	49.154	234.201	31.484	0	0	236.12925	17483
0.947916667	0	30	77.75294	34.9438	0	0	7	72.372	225.584	33.106	0	0	248.2965	25814
0.958333333	0	30	75.6245	34.14371	0	0	7	66.462	233.572	33.337	0	0	250.02825	23248
0.96875	0	30	71.87255	32.70355	0	0	7	69.61	234.906	33.835	0	0	253.76325	24098
0.979166667	0	30	69.45669	31.46515	0	0	7	64.946	237.889	33.648	0	0	252.36225	22402
0.989583333	0	30	67.49915	30.68245	0	0	7	57.161	237.287	32.716	0	0	245.373	19962
1	0	30	63.63455	30.24762	0	0	7	51.268	232.285	31.506	0	0	236.29425	18363
1.010416667	0	30	61.67313	30.21283	0	0	7	50.515	225.629	30.683	0	0	230.12025	18618
1.020833333	0	30	61.71973	31.04771	0	0	7	50.619	220.807	30.158	0	0	226.188	19046
1.03125	0	30	62.16018	31.67387	0	0	7	62.569	217.942	31.168	0	0	233.75925	23433
1.041666667	0	30	64.57526	33.15925	0	0	7	59.617	222.662	31.364	0	0	235.23225	22011
1.052083333	0	30	67.84871	35.11773	0	0	7	63.857	223.751	31.956	0	0	239.673	23310
1.0625	0	30	72.14054	37.86587	0	0	7	64.284	226.902	32.354	0	0	242.655	23158
1.072916667	0	30	72.47069	37.86587	0	0	7	41.49	228.286	29.975	0	0	224.81325	15122
1.083333333	0	30	69.7643	36.8501	0	0	7	39.669	215.549	28.358	0	0	212.682	15319
1.09375	0	30	67.49915	36.47441	0	0	7	37.972	206.021	27.11	0	0	203.32725	15342
1.104166667	0	30	62.83833	34.38721	0	0	7	35.127	197.957	25.898	0	0	194.2365	14751
1.114583333	0	30	62.24019	34.67942	0	0	7	32.712	190.074	24.754	0	0	185.655	14287
1.125	0	30	53.74197	32.06695	0	0	7	27.94	184.111	23.561	0	0	176.709	12478
1.135416667	0	30	54.44886	29.89975	0	0	7	26.386	173.884	22.252	0	0	166.8915	12477
1.145833333	0	30	50.06769	27.06813	0	0	7	22.936	164.551	20.832	0	0	156.23925	11347
1.15625	0	30	46.35457	24.70265	0	0	7	21.103	155.12	19.58	0	0	146.85225	11037
1.166666667	0	30	44.35819	23.38772	0	0	7	19.02	146.286	18.367	0	0	137.75475	10473
1.177083333	0	30	42.57931	22.19802	0	0	7	17.213	137.703	17.213	0	0	129.09675	10000
1.1875	0	30	40.00033	20.31607	0	0	7	18.179	131.327	16.612	0	0	124.5885	11258
1.197916667	0	30	40.38873	20.54218	0	0	7	16.336	126.036	15.819	0	0	118.64325	10436
1.208333333	0	30	40.77713	20.71611	0	0	7	16.413	121.231	15.294	0	0	114.7035	10976
1.21875	0	30	40.46641	20.7509	0	0	7	16.295	117.792	14.899	0	0	111.7395	11250
1.229166667	0	30	40.83539	20.66393	0	0	7	16.59	115.483	14.675	0	0	110.061	11740
1.239583333	0	30	40.46641	20.61175	0	0	7	16.095	113.574	14.408	0	0	108.05775	11562
1.25	0	30	40.50525	20.54218	0	0	7	16.607	112.322	14.325	0	0	107.4405	12124
1.260416667	0	30	40.52467	20.43782	0	0	7	17.139	112.12	14.362	0	0	107.71575	12578
1.270833333	0	30	40.31105	20.40303	0	0	7	15.527	110.946	14.053	0	0	105.3945	11399
1.28125	0	30	40.11685	20.15953	0	0	7	15.322	109.072	13.822	0	0	103.662	11448
1.291666667	0	30	40.04693	20.02734	0	0	7	15.969	108.282	13.806	0	0	103.54275	12090
1.302083333	0	30	40.34212	19.99951	0	0	7	16.401	108.459	13.873	0	0	104.04975	12429
1.3125	0	30	40.58293	20.10039	0	0	7	15.204	107.796	13.667	0	0	102.50025	11500
1.322916667	0	30	40.89365	20.40303	0	0	7	15.312	106.777	13.566	0	0	101.74125	11717
1.333333333	0	30	41.16553	20.82047	0	0	7	15.26	106.143	13.489	0	0	101.169	11751
1.34375	0	30	41.86465	21.16834	0	0	7	14.844	105.33	13.353	0	0	100.14525	11489
1.354166667	0	30	42.42395	21.6136	0	0	7	16.531	105.985	13.613	0	0	102.09675	12859
1.364583333	0	30	43.94649	22.1354	0	0	7	16.082	106.97	13.673	0	0	102.54375	12350
1.375	0	30	48.77431	24.68178	0	0	7	15.936	107.218	13.684	0	0	102.6285	12194
1.385416667	0	30	59.88648	29.65625	0	0	7	20.373	110.631	14.556	0	0	109.17	15329
1.395833333	0	30	71.46084	34.24807	0	0	7	34.104	121.895	17.333	0	0	129.999	22901
1.40625	0	30	80.00567	37.93544	0	0	7	40.213	138.359	19.841	0	0	148.80975	23690
1.416666667	0	30	94.90087	43.39692	0	0	7	47.039	153.964	22.334	0	0	167.50275	24749
1.427083333	0	30	105.7761	46.61468	0	0	7	57.989	169.552	25.282	0	0	189.61725	27249
1.4375	0	30	115.2104	49.24802	0	0	7	70.303	186.609	28.546	0	0	214.0935	29504
1.447916667	0	30	120.011	49.99941	0	0	7	84.776	204.221	32.111	0	0	240.831	31868
1.458333333	0	30	118.9701	49.24802	0	0	7	93.644	223.267	35.212	0	0	264.09225	32126
1.46875	0	30	112.1109	45.74154	0	0	7	99.804	240.029	37.759	0	0	283.194	31909
1.479166667	0	30	102.4553	40.85751	0	0	7	105.525	253.607	39.904	0	0	299.277	31927
1.489583333	0	30	94.81153	39.03469	0	0	7	109.395	265.112	41.612	0	0	312.08925	31719
1.5	0	30	88.37961	36.8501	0	0	7	109.831	274.877	42.745	0	0	320.58975	30926
1.510416667	0	30	81.2874	34.24807	0	0	7	96.363	284.365	42.303	0	0	317.27325	27039
1.520833333	0	30	75.7721	32.16088	0	0	7	91.204	283.895	41.678	0	0	312.58275	25844
1.53125	0	30	70.37332	30.77985	0	0	7	87.717	281.521	41.026	0	0	307.698	25174
1.541666667	0	30	68.27595	29.79539	0	0	7	85.221	278.503	40.414	0	0	303.1035	24783
1.552083333	0	30	67.03307	29.23881	0	0	7	82.967	275.462	39.826	0	0	298.69125	24444
1.5625	0	30	66.76507	28.52221	0	0	7	75.856	272.967	38.758	0	0	290.68575	22762
1.572916667	0	30	67.07967	27.95867	0	0	7	82.171	266.588	38.751	0	0	290.6325	24940
1.583333333	0	30	68.08952	28.12564	0	0	7	78.986	266.35	38.371	0	0	287.78025	24113
1.59375	0	30	68.72261	27.55166	0	0	7	75.525	264.508	37.782	0	0	283.36125	23320
1.604166667	0	30	68.31479	27.4647	0	0	7	70.878	261.619	36.944	0	0	277.08075	22247
1.614583333	0	30	65.16874	26.45589	0	0	7	68.388	257.161	36.172	0	0	271.29075	21875
1.625	0	30	61.64516	26.1776	0	0	7	67.193	252.816	35.557	0	0	266.6745	21863
1.635416667	0	30	59.76219	26.28891	0	0	7	64.178	249.278	34.828	0	0	261.213	21236
1.645833333	0	30	58.94655	26.78984	0	0	7	63.867	245.083	34.328	0	0	257.4585	21473
1.65625	0	30	59.38933	27.29076	0	0	7	61.006	242.064	33.674	0	0	252.558	20822
