#1
double t_data(1345,15)  # storm weather raw influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
0	0	30	63.63455	30.24762	0	0	7	74.020253164557	283.989873417722	39.7784810126582	0	0	298.341455696203	21477
0.010416667	0	30	61.67313	30.21283	0	0	7	73.9987341772152	283.954430379747	39.7721518987342	0	0	298.293987341772	21474
0.020833333	0	30	61.71973	31.04771	0	0	7	67.1759493670886	284.016455696203	39.0215189873418	0	0	292.660443037975	19620
0.03125	0	30	62.16018	31.67387	0	0	7	65.1417721518987	279.712658227848	38.3164556962025	0	0	287.378164556962	19334
0.041666667	0	30	64.57526	33.15925	0	0	7	62.9493670886076	275.620253164557	37.6189873417722	0	0	282.141455696203	18978
0.052083333	0	30	67.84871	35.11773	0	0	7	59.7392405063291	271.315189873418	36.7835443037975	0	0	275.878481012658	18321
0.0625	0	30	72.14054	37.86587	0	0	7	59.6962025316456	278.386075949367	37.5645569620253	0	0	281.735126582278	17855
0.072916667	0	30	72.47069	37.86587	0	0	7	55.8556962025316	269.989873417722	36.2050632911392	0	0	271.537974683545	17237
0.083333333	0	30	69.7643	36.8501	0	0	7	51.7632911392405	262.170886075949	34.8810126582278	0	0	261.611392405063	16453
0.09375	0	30	67.49915	36.47441	0	0	7	50.5405063291139	254.505063291139	33.8936708860759	0	0	254.204430379747	16548
0.104166667	0	30	62.83833	34.38721	0	0	7	48.5455696202532	248.243037974684	32.9759493670886	0	0	247.323417721519	16295
0.114583333	0	30	62.46546	34.67942	0	0	7	42.8101265822785	241.389873417722	31.5772151898734	0	0	236.832911392405	14743
0.125	0	30	53.74197	32.06695	0	0	7	38.1354430379747	231.917721518987	30.006329113924	0	0	225.044620253164	13613
0.135416667	0	30	54.44886	29.89975	0	0	7	34.4037974683544	221.384810126582	28.4215189873418	0	0	213.157594936709	12807
0.145833333	0	30	50.06769	27.06813	0	0	7	31.2607594936709	210.655696202532	26.879746835443	0	0	201.597151898734	12173
0.15625	0	30	46.35457	24.70265	0	0	7	28.2784810126582	199.974683544304	25.3620253164557	0	0	190.211392405063	11533
0.166666667	0	30	44.35819	23.38772	0	0	7	28.3746835443038	190.853164556962	24.3582278481013	0	0	182.689556962025	12198
0.177083333	0	30	42.57931	22.19802	0	0	7	26.1278481012658	183.277215189873	23.2670886075949	0	0	174.50411392405	11640
0.1875	0	30	40.00033	20.31607	0	0	7	25.7974683544304	176.382278481013	22.4645569620253	0	0	168.483227848102	11978
0.197916667	0	30	40.38873	20.54218	0	0	7	27.6924050632911	172.426582278481	22.2354430379747	0	0	166.76582278481	13272
0.208333333	0	30	40.77713	20.71611	0	0	7	25.6607594936709	169.410126582278	21.6746835443038	0	0	162.55917721519	12452
0.21875	0	30	40.46641	20.7509	0	0	7	27.1405063291139	166.882278481013	21.5582278481013	0	0	161.685759493671	13453
0.229166667	0	30	40.83539	20.66393	0	0	7	27.7151898734177	166.237974683544	21.5506329113924	0	0	161.627848101266	13815
