#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
0.6042	0	30	68.31	27.46	0	0	7	57.19	253.9	34.56	0	0	259.2	9.06437416666667	18730
0.6146	0	30	65.17	26.46	0	0	7	76.52	243.9	35.61	0	0	267	8.7508025	25320
0.625	0	30	61.65	26.18	0	0	7	70.05	248.6	35.41	0	0	265.5	8.42781333333333	23050
0.6354	0	30	59.76	26.29	0	0	7	64.18	247.7	34.66	0	0	259.9	8.256675	21360
0.6458	0	30	58.95	26.79	0	0	7	66.79	243.6	34.49	0	0	258.7	8.22519916666667	22490
0.6563	0	30	59.39	27.29	0	0	7	53.09	242.5	32.84	0	0	246.3	8.2522575	18220
0.6667	0	30	60.21	27.12	0	0	7	48.59	232.1	31.18	0	0	233.9	8.25496083333333	17440
0.6771	0	30	62.43	27.42	0	0	7	51.67	222.9	30.51	0	0	228.8	8.4432975	19250
0.6875	0	30	65.87	28.33	0	0	7	50.5	218.5	29.89	0	0	224.1	8.786435	19200
0.6979	0	30	65.62	28.28	0	0	7	51.12	215.9	29.68	0	0	222.6	8.75449833333333	19640
0.7083	0	30	64	27.71	0	0	7	49	214.1	29.24	0	0	219.3	8.55856083333333	19010
0.7188	0	30	59.54	26.69	0	0	7	46.94	211.3	28.69	0	0	215.2	8.08476416666667	18480
0.7292	0	30	58.34	26.57	0	0	7	45.21	206.6	27.99	0	0	209.9	7.95269333333333	18210
0.7396	0	30	57.34	26.62	0	0	7	45.48	203.9	27.71	0	0	207.8	7.8649525	18550
0.75	0	30	58.69	27.46	0	0	7	45.37	202.1	27.5	0	0	206.2	8.04099166666667	18670
0.7604	0	30	60.47	28.33	0	0	7	45.06	200.7	27.3	0	0	204.8	8.25562	18670
0.7708	0	30	63.25	29.27	0	0	7	44.73	199.4	27.13	0	0	203.4	8.55955666666667	18650
0.7813	0	30	62.37	30.63	0	0	7	56.42	199.3	28.42	0	0	213.1	8.64046	23140
0.7917	0	30	62.22	30.59	0	0	7	56.52	205.9	29.16	0	0	218.7	8.647285	22510
0.8021	0	30	62.01	28.16	0	0	7	56.34	210.2	29.61	0	0	222.1	8.4423625	22030
0.8125	0	30	66.41	29.8	0	0	7	58.43	213.1	30.17	0	0	226.3	8.9624175	22490
0.8229	0	30	67.19	29.82	0	0	7	49.05	216	29.45	0	0	220.9	9.0068875	18880
0.8333	0	30	68.47	30.3	0	0	7	53.24	212.9	29.57	0	0	221.8	9.15736916666667	20670
0.8438	0	30	71.89	32.13	0	0	7	63.45	213.7	30.79	0	0	230.9	9.63301083333333	24150
0.8542	0	30	75.64	33.77	0	0	7	60.41	220	31.16	0	0	233.7	10.0940341666667	22520
0.8646	0	30	77.44	34.3	0	0	7	61.91	222.3	31.58	0	0	236.9	10.3015791666667	22800
0.875	0	30	80.08	35.64	0	0	7	59.52	224.9	31.6	0	0	237	10.6335733333333	21780
0.8854	0	30	82.6	36.06	0	0	7	51.65	225.1	30.75	0	0	230.6	10.8521675	19070
0.8958	0	30	83.84	35.93	0	0	7	72.08	220.7	32.53	0	0	244	10.9997541666667	26210
0.9063	0	30	84.22	35.45	0	0	7	68.09	229.8	33.1	0	0	248.2	11.0095425	24100
0.9167	0	30	83.38	35.7	0	0	7	65.82	233.3	33.24	0	0	249.3	10.9640158333333	23070
0.9271	0	30	82	35.63	0	0	7	63.99	234.5	33.17	0	0	248.8	10.8409541666667	22390
0.9375	0	30	80.14	35.38	0	0	7	49.15	234.2	31.48	0	0	236.1	10.61302	17480
0.9479	0	30	77.75	34.94	0	0	7	72.37	225.6	33.11	0	0	248.3	10.4285616666667	25810
0.9583	0	30	75.62	34.14	0	0	7	66.46	233.6	33.34	0	0	250	10.1917675	23250
0.9688	0	30	71.87	32.7	0	0	7	69.61	234.9	33.84	0	0	253.8	9.774675	24100
0.9792	0	30	69.46	31.47	0	0	7	64.95	237.9	33.65	0	0	252.4	9.46432	22400
0.9896	0	30	67.5	30.68	0	0	7	57.16	237.3	32.72	0	0	245.4	9.20671666666667	19960
1	0	30	63.63	30.25	0	0	7	51.27	232.3	31.51	0	0	236.3	8.81051416666667	18360
1.01	0	30	61.67	30.21	0	0	7	50.52	225.6	30.68	0	0	230.1	8.61841333333333	18620
1.021	0	30	61.72	31.05	0	0	7	50.62	220.8	30.16	0	0	226.2	8.67545333333333	19050
1.031	0	30	62.16	31.67	0	0	7	62.57	217.9	31.17	0	0	233.8	8.79592083333333	23430
1.042	0	30	64.58	33.16	0	0	7	59.62	222.7	31.36	0	0	235.2	9.12712583333333	22010
1.052	0	30	67.85	35.12	0	0	7	63.86	223.8	31.96	0	0	239.7	9.58170333333333	23310
1.063	0	30	72.14	37.87	0	0	7	64.28	226.9	32.35	0	0	242.7	10.1807841666667	23160
1.073	0	30	72.47	37.87	0	0	7	41.49	228.3	29.98	0	0	224.8	10.1337966666667	15120
1.083	0	30	69.76	36.85	0	0	7	39.67	215.5	28.36	0	0	212.7	9.77295	15320
1.094	0	30	67.5	36.47	0	0	7	37.97	206	27.11	0	0	203.3	9.51379666666667	15340
1.104	0	30	62.84	34.39	0	0	7	35.13	198	25.9	0	0	194.2	8.91346166666667	14750
1.115	0	30	62.24	34.68	0	0	7	32.71	190.1	24.75	0	0	185.7	8.85213416666667	14290
1.125	0	30	53.74	32.07	0	0	7	27.94	184.1	23.56	0	0	176.7	7.88891	12480
1.135	0	30	54.45	29.9	0	0	7	26.39	173.9	22.25	0	0	166.9	7.7262175	12480
1.146	0	30	50.07	27.07	0	0	7	22.94	164.6	20.83	0	0	156.2	7.08065166666667	11350
1.156	0	30	46.35	24.7	0	0	7	21.1	155.1	19.58	0	0	146.9	6.53485166666667	11040
1.167	0	30	44.36	23.39	0	0	7	19.02	146.3	18.37	0	0	137.8	6.22090916666667	10470
1.177	0	30	42.58	22.2	0	0	7	17.21	137.7	17.21	0	0	129.1	5.93736083333333	10000
1.188	0	30	40	20.32	0	0	7	18.18	131.3	16.61	0	0	124.6	5.54678333333333	11260
1.198	0	30	40.39	20.54	0	0	7	16.34	126	15.82	0	0	118.6	5.57315916666667	10440
1.208	0	30	40.78	20.72	0	0	7	16.41	121.2	15.29	0	0	114.7	5.60360333333333	10980
1.219	0	30	40.47	20.75	0	0	7	16.3	117.8	14.9	0	0	111.7	5.5681925	11250
1.229	0	30	40.84	20.66	0	0	7	16.59	115.5	14.68	0	0	110.1	5.58469333333333	11740
1.24	0	30	40.47	20.61	0	0	7	16.1	113.6	14.41	0	0	108.1	5.54118	11560
1.25	0	30	40.51	20.54	0	0	7	16.61	112.3	14.33	0	0	107.4	5.53603583333333	12120
1.26	0	30	40.52	20.44	0	0	7	17.14	112.1	14.36	0	0	107.7	5.53012416666667	12580
1.271	0	30	40.31	20.4	0	0	7	15.53	110.9	14.05	0	0	105.4	5.49975666666667	11400
1.281	0	30	40.12	20.16	0	0	7	15.32	109.1	13.82	0	0	103.7	5.45603166666667	11450
1.292	0	30	40.05	20.03	0	0	7	15.97	108.3	13.81	0	0	103.5	5.43868916666667	12090
1.302	0	30	40.34	20	0	0	7	16.4	108.5	13.87	0	0	104	5.46313583333333	12430
1.313	0	30	40.58	20.1	0	0	7	15.2	107.8	13.67	0	0	102.5	5.48511	11500
1.323	0	30	40.89	20.4	0	0	7	15.31	106.8	13.57	0	0	101.7	5.53305666666667	11720
1.333	0	30	41.17	20.82	0	0	7	15.26	106.1	13.49	0	0	101.2	5.58808333333333	11750
1.344	0	30	41.86	21.17	0	0	7	14.84	105.3	13.35	0	0	100.1	5.6710825	11490
1.354	0	30	42.42	21.61	0	0	7	16.53	106	13.61	0	0	102.1	5.7629625	12860
1.365	0	30	43.95	22.14	0	0	7	16.08	107	13.67	0	0	102.5	5.9351575	12350
1.375	0	30	48.77	24.68	0	0	7	15.94	107.2	13.68	0	0	102.6	6.5500075	12190
1.385	0	30	59.89	29.66	0	0	7	20.37	110.6	14.56	0	0	109.2	7.91789416666667	15330
