#1
double t_data(1345,16)	# t	S.I	S.S	X.I	X.S	X.H	X.A	X.P	S.O2	S.NO	S.NH	S.ND	X.ND	S.ALK	S.P	Q
0	30	63.63455	74.020253164557	283.989873417722	39.7784810126582	0	0	0	0	30.24762	6.36346	14.9544303797468	7	9.06971669831223	21477
0.010416667	30	61.67313	73.9987341772152	283.954430379747	39.7721518987342	0	0	0	0	30.21283	6.16731	14.9518987341772	7	8.90315489451477	21474
0.020833333	30	61.71973	67.1759493670886	284.016455696203	39.0215189873418	0	0	0	0	31.04771	6.17197	14.6696202531646	7	8.95308835443038	19620
0.03125	30	62.16018	65.1417721518987	279.712658227848	38.3164556962025	0	0	0	0	31.67387	6.21602	14.4050632911392	7	9.01992610759493	19334
0.041666667	30	64.57526	62.9493670886076	275.620253164557	37.6189873417722	0	0	0	0	33.15925	6.45753	14.1417721518987	7	9.32302351265822	18978
0.052083333	30	67.84871	59.7392405063291	271.315189873418	36.7835443037975	0	0	0	0	35.11773	6.78487	13.8291139240506	7	9.73296282700422	18321
0.0625	30	72.14054	59.6962025316456	278.386075949367	37.5645569620253	0	0	0	0	37.86587	7.21405	14.1215189873418	7	10.3439940822785	17855
0.072916667	30	72.47069	55.8556962025316	269.989873417722	36.2050632911392	0	0	0	0	37.86587	7.24707	13.6113924050633	7	10.3289960337553	17237
0.083333333	30	69.7643	51.7632911392405	262.170886075949	34.8810126582278	0	0	0	0	36.8501	6.97643	13.1139240506329	7	9.97736033755274	16453
0.09375	30	67.49915	50.5405063291139	254.505063291139	33.8936708860759	0	0	0	0	36.47441	6.74992	12.7417721518987	7	9.72627767932489	16548
0.104166667	30	62.83833	48.5455696202532	248.243037974684	32.9759493670886	0	0	0	0	34.38721	6.28383	12.3974683544304	7	9.13525069620253	16295
0.114583333	30	62.46546	42.8101265822785	241.389873417722	31.5772151898734	0	0	0	0	34.67942	6.24655	11.8708860759494	7	9.08464717299578	14743
0.125	30	53.74197	38.1354430379747	231.917721518987	30.006329113924	0	0	0	0	32.06695	5.3742	11.2810126582278	7	8.09082772151898	13613
0.135416667	30	54.44886	34.4037974683544	221.384810126582	28.4215189873418	0	0	0	0	29.89975	5.44489	10.6848101265823	7	7.91945167721519	12807
0.145833333	30	50.06769	31.2607594936709	210.655696202532	26.879746835443	0	0	0	0	27.06813	5.00677	10.1050632911392	7	7.27007360759493	12173
0.15625	30	46.35457	28.2784810126582	199.974683544304	25.3620253164557	0	0	0	0	24.70265	4.63546	9.53417721518987	7	6.71594976793249	11533
0.166666667	30	44.35819	28.3746835443038	190.853164556962	24.3582278481013	0	0	0	0	23.38772	4.43582	9.15696202531645	7	6.40857266877637	12198
0.177083333	30	42.57931	26.1278481012658	183.277215189873	23.2670886075949	0	0	0	0	22.19802	4.25793	8.74683544303798	7	6.12701378691983	11640
0.1875	30	40.00033	25.7974683544304	176.382278481013	22.4645569620253	0	0	0	0	20.31607	4.00003	8.44556962025316	7	5.7301641350211	11978
0.197916667	30	40.38873	27.6924050632911	172.426582278481	22.2354430379747	0	0	0	0	20.54218	4.03887	8.35949367088608	7	5.77420030590717	13272
0.208333333	30	40.77713	25.6607594936709	169.410126582278	21.6746835443038	0	0	0	0	20.71611	4.07771	8.14810126582278	7	5.80344510548523	12452
0.21875	30	40.46641	27.1405063291139	166.882278481013	21.5582278481013	0	0	0	0	20.7509	4.04664	8.10506329113924	7	5.77686444092827	13453
0.229166667	30	40.83539	27.7151898734177	166.237974683544	21.5506329113924	0	0	0	0	20.66393	4.08354	8.10126582278481	7	5.8000488185654	13815
0.239583333	30	40.46641	27.6493670886076	165.96582278481	21.5126582278481	0	0	0	0	20.61175	4.04664	8.0873417721519	7	5.76379181434599	13803
0.25	30	40.50525	24.9670886075949	164.091139240506	21.006329113924	0	0	0	0	20.54218	4.05053	7.89746835443038	7	5.74540819620253	12514
0.260416667	30	40.52467	24.553164556962	161.041772151899	20.6215189873418	0	0	0	0	20.43782	4.05247	7.75189873417721	7	5.72619906118144	12542
0.270833333	30	40.31105	22.8670886075949	157.683544303797	20.0607594936709	0	0	0	0	20.40303	4.03111	7.54177215189873	7	5.68798767932489	11865
0.28125	30	40.11685	22.8253164556962	154.441772151899	19.6962025316456	0	0	0	0	20.15953	4.01169	7.40506329113924	7	5.6401202742616	12118
0.291666667	30	40.04693	22.0645569620253	151.686075949367	19.3063291139241	0	0	0	0	20.02734	4.00469	7.25822784810127	7	5.61104148734177	11906
0.302083333	30	40.34212	21.9670886075949	149.287341772152	19.0278481012658	0	0	0	0	19.99951	4.03421	7.15316455696202	7	5.62456621308017	12059
0.3125	30	40.58293	22.3911392405063	147.892405063291	18.920253164557	0	0	0	0	20.10039	4.05829	7.1126582278481	7	5.64966485232067	12446
0.322916667	30	40.89365	23.2506329113924	147.751898734177	19	0	0	0	0	20.40303	4.08937	7.14303797468354	7	5.70330983122363	12982
0.333333333	30	41.16553	23.2569620253165	148.073417721519	19.0367088607595	0	0	0	0	20.82047	4.11655	7.15696202531646	7	5.7619135021097	12956
0.34375	30	41.86465	22.8949367088608	147.988607594937	18.9873417721519	0	0	0	0	21.16834	4.18647	7.1379746835443	7	5.84758039029536	12745
