#1
double t_data(1344,16)	#"t"	"S.I"	"S.S"	"X.I"	"X.S"	"X.H"	"X.A"	"X.P"	"S.O2"	"S.NO"	"S.NH"	"S.ND"	"X.ND"	"S.ALK"	"S.P"	"Qstrm"
3.760416667	30	60.46908	65.8481012658228	259.293670886076	36.126582278481	0	0	0	0	28.33436	6.04691	13.5815189873418	7	8.53207991561182	20969
3.770833333	30	63.25004	69.5746835443038	265.825316455696	37.2670886075949	0	0	0	0	29.26664	6.325	14.0100379746835	7	8.87722649789029	21559
3.78125	30	62.37225	67.5303797468354	271.653164556962	37.6873417721519	0	0	0	0	30.63027	6.23723	14.1680759493671	7	8.93088299578059	20558
3.791666667	30	62.21689	65.0278481012658	279.584810126582	38.2898734177215	0	0	0	0	30.58853	6.22169	14.394835443038	7	8.93335462025317	19310
3.802083333	30	62.01492	58.5810126582278	286.408860759494	38.3316455696202	0	0	0	0	28.16043	6.20149	14.410582278481	7	8.71549435654008	17043
3.8125	30	66.41162	60.2354430379747	280.530379746835	37.8632911392405	0	0	0	0	29.79539	6.64116	14.2341772151899	7	9.20343226793249	17878
3.822916667	30	67.18843	67.6772151898734	261.215189873418	36.5430379746835	0	0	0	0	29.82322	6.71884	13.7381772151899	7	9.22915226793249	21360
3.833333333	30	68.47015	70.0151898734177	253.510126582278	35.946835443038	0	0	0	0	30.30328	6.84702	13.5139873417722	7	9.35728477848102	22636
3.84375	30	71.88808	71.773417721519	261.078481012658	36.9835443037975	0	0	0	0	32.13305	7.18881	13.903582278481	7	9.82705935654008	22542
3.854166667	30	75.64392	79.0506329113924	265.167088607595	38.246835443038	0	0	0	0	33.77149	7.56439	14.3783670886076	7	10.3161480907173	24225
3.864583333	30	77.44222	71.1936708860759	281.237974683544	39.1594936708861	0	0	0	0	34.30373	7.74422	14.7214683544304	7	10.5389515295359	20907
3.875	30	80.08335	67.5113924050633	298.358227848101	40.6518987341772	0	0	0	0	35.63953	8.00834	15.2827594936709	7	10.9171366244726	18809
3.885416667	30	82.60408	72.3556962025316	290.794936708861	40.3493670886076	0	0	0	0	36.06393	8.26041	15.1691772151899	7	11.1530989345992	20576
3.895833333	30	83.83531	85.5050632911393	268.143037974684	39.293670886076	0	0	0	0	35.93174	8.38353	14.772253164557	7	11.2116085970464	25680
3.90625	30	84.21983	79.053164556962	275.215189873418	39.3632911392405	0	0	0	0	35.45168	8.42198	14.7981772151899	7	11.2058072679325	23444
3.916666667	30	83.377	82.7405063291139	292.329113924051	41.6746835443038	0	0	0	0	35.69519	8.3377	15.6670759493671	7	11.2282721624473	23139
3.927083333	30	81.99584	85.3835443037975	295.730379746835	42.3455696202532	0	0	0	0	35.62561	8.19958	15.9195316455696	7	11.1284151371308	23551
3.9375	30	80.14161	77.7835443037975	307.464556962025	42.8050632911392	0	0	0	0	35.37863	8.01416	16.0922278481013	7	10.9677056540084	20895
3.947916667	30	77.75294	95.6430379746836	295.030379746835	43.4075949367089	0	0	0	0	34.9438	7.7753	16.318835443038	7	10.7512979535865	26044
3.958333333	30	75.6245	90.1607594936709	294.006329113924	42.6848101265823	0	0	0	0	34.14371	7.56245	16.0470632911392	7	10.4846061075949	24830
3.96875	30	71.87255	91.2962025316456	310.008860759494	44.5898734177215	0	0	0	0	32.70355	7.18726	16.7629620253165	7	10.1115885021097	23966
3.979166667	30	69.45669	90.720253164557	317.856962025316	45.3974683544304	0	0	0	0	31.46515	6.94567	17.0667215189873	7	9.83238012658227	23311
3.989583333	30	67.49915	88.7506329113924	322.3	45.6721518987342	0	0	0	0	30.68245	6.74992	17.1700253164557	7	9.61263544303798	22576
4	30	63.63455	81.2822784810127	329.510126582278	45.6430379746835	0	0	0	0	30.24762	6.36346	17.1592278481013	7	9.25344982067511	20411
4.010416667	30	61.67313	80.7075949367089	327.23417721519	45.326582278481	0	0	0	0	30.21283	6.16731	17.040164556962	7	9.0771770464135	20408
4.020833333	30	61.71973	64.2367088607595	286.955696202532	39.0215189873418	0	0	0	0	31.04771	6.17197	14.6696962025316	7	8.9530946835443	18616
4.03125	30	62.16018	62.3405063291139	282.513924050633	38.3164556962025	0	0	0	0	31.67387	6.21602	14.4049240506329	7	9.01991450421941	18359
4.041666667	30	64.57526	60.3037974683544	278.26582278481	37.6189873417722	0	0	0	0	33.15925	6.45753	14.1424303797468	7	9.3230783649789	18040
4.052083333	30	67.84871	57.3417721518987	273.713924050633	36.7835443037975	0	0	0	0	35.11773	6.78487	13.8285443037975	7	9.73291535864979	17452
4.0625	30	72.14054	57.3822784810127	280.698734177215	37.5645569620253	0	0	0	0	37.86587	7.21405	14.1220126582278	7	10.344035221519	17034
4.072916667	30	72.47069	53.8012658227848	272.044303797468	36.2050632911392	0	0	0	0	37.86587	7.24707	13.6109240506329	7	10.3289570042194	16480
4.083333333	30	69.7643	49.9974683544304	263.936708860759	34.8810126582278	0	0	0	0	36.8501	6.97643	13.1133544303797	7	9.97731286919831	15778
4.09375	30	67.49915	48.7987341772152	256.246835443038	33.8936708860759	0	0	0	0	36.47441	6.74992	12.7420759493671	7	9.72630299578059	15863
4.104166667	30	62.83833	46.9164556962025	249.872151898734	32.9759493670886	0	0	0	0	34.38721	6.28383	12.397164556962	7	9.13522537974683	15636
4.114583333	30	62.24019	41.6341772151899	242.56582278481	31.5772151898734	0	0	0	0	34.67942	6.22402	11.871329113924	7	9.065911592827	14246
4.125	30	53.74197	37.2848101265823	232.76835443038	30.006329113924	0	0	0	0	32.06695	5.3742	11.2804303797468	7	8.09077919831223	13234
4.135416667	30	54.44886	33.7772151898734	222.011392405063	28.4215189873418	0	0	0	0	29.89975	5.44489	10.6845949367089	7	7.91943374472574	12513
4.145833333	30	50.06769	30.8012658227848	211.115189873418	26.879746835443	0	0	0	0	27.06813	5.00677	10.1051265822785	7	7.27007888185654	11946
4.15625	30	46.35457	27.9721518987342	200.281012658228	25.3620253164557	0	0	0	0	24.70265	4.63546	9.53440506329114	7	6.71596875527426	11373
4.166666667	30	44.35819	27.9544303797468	191.274683544304	24.3582278481013	0	0	0	0	23.38772	4.43582	9.15741772151899	7	6.40861064345992	11968
4.177083333	30	42.57931	25.8291139240506	183.577215189873	23.2670886075949	0	0	0	0	22.19802	4.25793	8.74712658227848	7	6.12703804852321	11468
4.1875	30	40.00033	25.4481012658228	176.73164556962	22.4645569620253	0	0	0	0	20.31607	4.00003	8.44527848101266	7	5.73013987341772	11771
4.197916667	30	40.38873	27.120253164557	172.998734177215	22.2354430379747	0	0	0	0	20.54218	4.03887	8.35918987341772	7	5.77417498945148	12929
4.208333333	30	40.77713	25.2417721518987	169.827848101266	21.6746835443038	0	0	0	0	20.71611	4.07771	8.14827848101266	7	5.80345987341772	12195
4.21875	30	40.46641	26.5544303797468	167.46835443038	21.5582278481013	0	0	0	0	20.7509	4.04664	8.10454430379747	7	5.77682119198312	13090
4.229166667	30	40.83539	27.0683544303797	166.884810126582	21.5506329113924	0	0	0	0	20.66393	4.08354	8.10164556962025	7	5.80008046413502	13414
4.239583333	30	40.46641	27.0050632911392	166.611392405063	21.5126582278481	0	0	0	0	20.61175	4.04664	8.08755696202532	7	5.76380974683544	13404
4.25	30	40.50525	24.5506329113924	164.507594936709	21.006329113924	0	0	0	0	20.54218	4.05053	7.89716455696203	7	5.74538287974683	12250
4.260416667	30	40.52467	24.1405063291139	161.455696202532	20.6215189873418	0	0	0	0	20.43782	4.05247	7.75254430379747	7	5.72625285864979	12275
4.270833333	30	40.31105	22.5721518987342	157.978481012658	20.0607594936709	0	0	0	0	20.40303	4.03111	7.54178481012658	7	5.68798873417721	11669
4.28125	30	40.11685	22.4962025316456	154.770886075949	19.6962025316456	0	0	0	0	20.15953	4.01169	7.4046329113924	7	5.6400844092827	11895
4.291666667	30	40.04693	21.7746835443038	151.977215189873	19.3063291139241	0	0	0	0	20.02734	4.00469	7.25782278481013	7	5.61100773206751	11705
4.302083333	30	40.34212	21.6582278481013	149.596202531646	19.0278481012658	0	0	0	0	19.99951	4.03421	7.15346835443038	7	5.62459152953587	11843
4.3125	30	40.58293	22.026582278481	148.256962025316	18.920253164557	0	0	0	0	20.10039	4.05829	7.11292405063291	7	5.64968700421941	12189
4.322916667	30	40.89365	22.8025316455696	148.2	19	0	0	0	0	20.40303	4.08937	7.14294936708861	7	5.70330244725738	12669
4.333333333	30	41.16553	22.8126582278481	148.517721518987	19.0367088607595	0	0	0	0	20.82047	4.11655	7.1566582278481	7	5.76188818565401	12645
4.34375	30	41.86465	22.4835443037975	148.4	18.9873417721519	0	0	0	0	21.16834	4.18647	7.138	7	5.8475825	12456
4.354166667	30	42.42395	23.8962025316456	149.353164556962	19.2493670886076	0	0	0	0	21.6136	4.2424	7.23679746835443	7	5.9395289556962	13219
4.364583333	30	43.94649	25.1607594936709	151.767088607595	19.6582278481013	0	0	0	0	22.1354	4.39465	7.39045569620253	7	6.12269547468354	13732
4.375	30	48.77431	31.3417721518987	155.164556962025	20.7227848101266	0	0	0	0	24.68178	4.87743	7.79056962025316	7	6.77055496835443	16832
4.385416667	30	59.88648	33.3936708860759	165.340506329114	22.0810126582278	0	0	0	0	29.65625	5.98865	8.30132911392405	7	8.153671592827	16830
4.395833333	30	71.46084	45.8177215189873	178.770886075949	24.9544303797468	0	0	0	0	34.24807	7.14608	9.3813164556962	7	9.59085220464135	21148
4.40625	30	80.00567	60.1303797468354	198.558227848101	28.7430379746835	0	0	0	0	37.93544	8.00057	10.8056962025316	7	10.7289005168776	24560
4.416666667	30	94.90087	64.8898734177215	220.487341772152	31.7088607594937	0	0	0	0	43.39692	9.49009	11.9205316455696	7	12.5181934704641	23953
4.427083333	30	105.7761	77.1417721518987	239.475949367089	35.179746835443	0	0	0	0	46.61468	10.57761	13.2254683544304	7	13.8013540295359	25904
4.4375	30	115.2104	89.873417721519	260.044303797468	38.879746835443	0	0	0	0	49.24802	11.52104	14.6164430379747	7	14.9229052531646	27488
4.447916667	30	120.011	105.210126582278	278.692405063291	42.6556962025316	0	0	0	0	49.99941	12.0011	16.0360253164557	7	15.5038696097046	29553
4.458333333	30	118.9701	114.306329113924	299.315189873418	45.9582278481013	0	0	0	0	49.24802	11.89701	17.2774303797468	7	15.4579625316456	29829
4.46875	30	112.1109	121.229113924051	317.336708860759	48.7291139240506	0	0	0	0	45.74154	11.21109	18.3193544303797	7	14.6809828691983	29837
4.479166667	30	102.4553	125.579746835443	332.582278481013	50.9063291139241	0	0	0	0	40.85751	10.24553	19.1379113924051	7	13.5375601160338	29558
4.489583333	30	94.81153	113.553164556962	348.784810126582	51.3708860759494	0	0	0	0	39.03469	9.48115	19.3123670886076	7	12.7632155907173	26139
4.5	30	88.37961	108.627848101266	352.588607594937	51.246835443038	0	0	0	0	36.8501	8.83796	19.2655316455696	7	12.0412701371308	24930
4.510416667	30	81.2874	108.069620253165	350.850632911392	50.9911392405063	0	0	0	0	34.24807	8.12874	19.1695949367089	7	11.2254220780591	24925
4.520833333	30	75.7721	102.930379746835	350.213924050633	50.3493670886076	0	0	0	0	32.16088	7.57721	18.9283291139241	7	10.5717757594937	23924
4.53125	30	70.37332	102.320253164557	349.258227848101	50.1759493670886	0	0	0	0	30.77985	7.03733	18.8629493670886	7	10.0013432805907	23857
4.541666667	30	68.27595	89.046835443038	348.501265822785	48.6164556962025	0	0	0	0	29.79539	6.8276	18.2768607594937	7	9.69568339662447	21088
4.552083333	30	67.03307	104.208860759494	340.253164556962	49.3848101265823	0	0	0	0	29.23881	6.70331	18.5656708860759	7	9.56979590717299	24802
4.5625	30	66.76507	102.389873417722	343.53164556962	49.546835443038	0	0	0	0	28.52221	6.67651	18.6266329113924	7	9.49282607594937	24220
4.572916667	30	67.07967	95.9037974683544	344.575949367089	48.9417721518987	0	0	0	0	27.95867	6.70797	18.3993037974684	7	9.45313698312236	22794
4.583333333	30	68.08952	91.3544303797468	341.662025316456	48.1126582278481	0	0	0	0	28.12564	6.80895	18.0875569620253	7	9.52522641350211	21983
4.59375	30	68.72261	78.9354430379747	336.981012658228	46.2126582278481	0	0	0	0	27.55166	6.87226	17.3732784810127	7	9.47062904008439	19441
4.604166667	30	68.31479	69.3594936708861	324.369620253165	43.7481012658228	0	0	0	0	27.4647	6.83148	16.4465063291139	7	9.35216636075949	17806
4.614583333	30	65.16874	91.3632911392405	314.262025316456	45.0696202531646	0	0	0	0	26.45589	6.51687	16.943417721519	7	9.04733731012658	23695
4.625	30	61.64516	84.0189873417721	319.346835443038	44.8189873417721	0	0	0	0	26.1776	6.16452	16.8490506329114	7	8.72265088607595	21662
4.635416667	30	59.76219	77.273417721519	317.551898734177	43.8696202531645	0	0	0	0	26.28891	5.97622	16.4922911392405	7	8.54528259493671	20152
4.645833333	30	58.94655	80.2012658227848	312.706329113924	43.6569620253165	0	0	0	0	26.78984	5.89466	16.4122025316456	7	8.51238271097047	21161
4.65625	30	59.38933	64.4848101265823	309.672151898734	41.573417721519	0	0	0	0	27.29076	5.93893	15.6289620253165	7	8.52575433544304	17348
4.666666667	30	60.21274	59.1645569620253	296.094936708861	39.473417721519	0	0	0	0	27.12379	6.02127	14.839582278481	7	8.51467602320675	16651
4.677083333	30	62.42662	62.5594936708861	285.030379746835	38.6215189873418	0	0	0	0	27.42295	6.24266	14.5192278481013	7	8.69739982067511	18264
4.6875	30	65.86786	61.1518987341772	279.325316455696	37.8303797468354	0	0	0	0	28.33436	6.58679	14.2220886075949	7	9.03535905063291	18220
4.697916667	30	65.61928	61.8278481012658	276.239240506329	37.5632911392405	0	0	0	0	28.2787	6.56193	14.1214430379747	7	9.00161858649789	18613
4.708333333	30	64.00353	59.3658227848101	273.69746835443	37.006329113924	0	0	0	0	27.7082	6.40035	13.9123924050633	7	8.80201020042194	18056
4.71875	30	59.54469	56.9620253164557	269.912658227848	36.3189873417722	0	0	0	0	26.68548	5.95447	13.6538987341772	7	8.32367239451477	17578
4.729166667	30	58.34064	54.9113924050633	263.9	35.4240506329114	0	0	0	0	26.57068	5.83406	13.3171265822785	7	8.18570388185654	17335
4.739583333	30	57.33857	55.1721518987342	260.529113924051	35.0784810126582	0	0	0	0	26.62286	5.73386	13.1872025316456	7	8.09571937763713	17638
4.75	30	58.6902	55.0189873417722	258.224050632911	34.8050632911392	0	0	0	0	27.4647	5.86902	13.0845189873418	7	8.26995158227848	17744
4.760416667	30	60.46908	54.6392405063291	256.387341772152	34.5582278481013	0	0	0	0	28.33436	6.04691	12.9919113924051	7	8.48294594936709	17747
4.770833333	30	63.25004	54.2506329113924	254.782278481013	34.3367088607595	0	0	0	0	29.26664	6.325	12.9086329113924	7	8.78544274261603	17733
4.78125	30	62.37225	67.6367088607595	256.1	35.9708860759494	0	0	0	0	30.63027	6.23723	13.5228481012658	7	8.87711400843882	21738
4.791666667	30	62.21689	67.8481012658228	264.344303797468	36.9101265822785	0	0	0	0	30.58853	6.22169	13.8760379746835	7	8.89012149789029	21176
4.802083333	30	62.01492	67.706329113924	269.672151898734	37.4860759493671	0	0	0	0	28.16043	6.20149	14.0926582278481	7	8.68900068565401	20749
4.8125	30	66.41162	70.1455696202532	273.550632911392	38.1886075949367	0	0	0	0	29.79539	6.64116	14.3565696202532	7	9.2136316350211	21158
4.822916667	30	67.18843	59.446835443038	276.045569620253	37.2772151898734	0	0	0	0	29.82322	6.71884	14.0138987341772	7	9.25212906118143	17930
4.833333333	30	68.47015	64.1911392405063	272.646835443038	37.426582278481	0	0	0	0	30.30328	6.84702	14.0701012658228	7	9.40362760548523	19535
4.84375	30	71.88808	75.9088607594937	274.854430379747	38.973417721519	0	0	0	0	32.13305	7.18881	14.6517594936709	7	9.88940745780591	22636
4.854166667	30	75.64392	72.5164556962025	282.435443037975	39.4392405063291	0	0	0	0	33.77149	7.56439	14.8267341772152	7	10.3535120147679	21182
4.864583333	30	77.44222	74.2696202531646	285.541772151899	39.9784810126582	0	0	0	0	34.30373	7.74422	15.0296962025316	7	10.5646371835443	21436
4.875	30	80.08335	71.5683544303797	288.439240506329	40.0012658227848	0	0	0	0	35.63953	8.00834	15.0379240506329	7	10.8967336708861	20522
